"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"H	HBRX	section of harbor		del av havn	del av hamn	haminan osa	sataman osa	section of harbour";
"H	INLT	inlet	a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water	innlÌüp	innlaup	oja	lahti	inlet";
"H	INLTQ	former inlet	an inlet which has been filled in, or blocked by deposits	tidligere innlÌüp	tidlegare innlaup	entinen oja	entinen lahti	former inlet";
"H	LBED	lake bed(s)	a dried up or drained area of a former lake	gammel innsjÌübunn	gamal innsjÌübotn	vanhaa jÌ_rvenpohja	vanha jÌ_rvenpohja	lake bed";
"H	LGN	lagoon	a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature	lagune	lagune	laguuni	laguuni	lagoon";
"H	LGNS	lagoons	shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature	laguner	laguner	laguunit	laguunit	lagoons";
"H	LGNX	section of lagoon		del av lagune	del av lagune	laguunin osa	laguunin osa	section of lagoon";
"H	LK	lake	a large inland body of standing water	innsjÌü	innsjÌü	jÌ_rvi	jÌ_rvi	lake";
"H	LKC	crater lake	a lake in a crater or caldera	kratersjÌü	kratersjÌü	kraaterijÌ_rvi	kraaterijÌ_rvi	crater lake";
"H	LKI	intermittent lake		tilbakevendende innsjÌü	tilbakevendande innsjÌü	pallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvipallaava jÌ_rvi	vÌ_liaikainen jÌ_rvi	intermittent lake";
"H	LKN	salt lake	an inland body of salt water with no outlet	saltsjÌü	saltsjÌü	suolajÌ_rvi	suolajÌ_rvi	salt lake";
