"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"noppee","adj","snar",,"-","-","rask",,"hurtig",,,,,,
"hiðas","adj","langsom",,"hithaa-","-","sakte",,"sein",,,,,,
"laho","adj","morken","a1","lahho-",,"råtten","a1",,,,,,,
"kaltto","adj","skeiv",,"kalto-","-","skrå",,,,,,,,
"ruumhiilinen","adj","kroppslig",,"ruumhiilise-","ruumhiilis-",,,,,,,,,
"oikkee","adj","høyre",,"oikkee-","-","rett",,"riktig",,,,,,
"rauhalinen","adj","fredelig",,"rauhalise-","rauhalis-","rolig",,,,,,,,
"uskoton","adj","troløs","a1","uskottoma-","-",,,,,,,,,
"liika","adj","ekstra",,"liija-","liikka-","overflødig",,,,,,,,
"liika","adj","ekstra",,"liija-","liikka-","overflødig",,,,,,,,
"moni","adj","mange",,"mone-","mon-","mang en",,,,,,,,
"kiverä","adj","bøyd",,"-","-","oppoverbøyd",,,,,,"Tyttärelä oon kiverä nokka",,
"halpa","adj","billig",,"halva-","halppa-",,,,,,,,,
"armoton","adj","nådeløs","a1","armotoma-","-",,,,,,,"Armaton kaunis",,
"nerokas","adj","dyktig",,"nerokhaa-","-","iherdig",,,,,,,,
"epävarma","adj","usikker","a1","-","-",,,,,,,,,
"pilvinen","adj","skyet",,"pilvise-","pilvis-","overskyet",,,,,,,,
"pilvinen","adj","skyet",,"pilvise-","pilvis-","overskyet",,,,,,,,
"varovainen","adj","forsiktig",,"varovaise-","varovais-",,,,,,,,,
"kaltto","adj","skeiv",,"kalto-","-","skrå",,,,,,,,
"viinto","adj","skeiv","a1","viinno-","viinto-","skrå –tt",,,,,,,,
"kaikenlainen","adj","allslags",,"kaikenlaise-","kaikenlais-","alt mulig",,,,,,,,
"erikoinen","adj","spesiel|l","a1","erikoise-","erikois-",,,,,,,,,
"kostee","adj","fuktig",,"-","-","våt",,,,,,,,
"tasanen","adj","jevn","a1","tasase-","tasas-","slett",,,,,,,,
"paksu","adj","tyk|k","a1","-","-",,,,,,,,,
"kranttu","adj","følsom","a1","krantu-","-","var –t","a1","nøye",,,,,,
"puhðas","adj","rein","a1","puhthaa-","-",,,,,,,,,
"liukas","adj","glatt",,"liukhaa-","-","sleip",,,,,,,,
"luontolinen","adj","naturlig",,"luontolise-","luontolis-",,,,,,,,,
"samanlainen","adj","likens",,"samanlaise-","samanlais-","samme slags",,,,,,,,
"samanlainen","adj","likens",,"samanlaise-","samanlais-","samme slags",,,,,,,,
"pahanjuoninen","adj","uskikkelig",,"pahanjuonise-","pahanjuonis-",,,,,,,,,
"hiðas","adj","langsom",,"hithaa-","-","sakte",,"sein",,,,,,
"kippee","adj","syk",,"-","-",,,,,,,,,
"kleini","adj","syk","a1","-","-","klein","a1","sairas",,,,,,
"ilakka","adj","glad",,"ilaka-","-","lystelig",,,,,,,,
"lamu","adj","vid",,"lammu-",,"utstrakt",,,,,,,,
"kunnolinen","adj","ordentlig",,"kunnolise-","kunnolis-","skikkelig",,,,,,,,
"uuðenaikhanen","adj","moderne",,"uuðenaikhane-","uuðenaikhas-","nytids",,,,,,,,
"turvalinen","adj","trygg","a1","turvalise-","turvalis-","sikker","a1",,,,,,,
"ystävälinen","adj","vennlig",,"ystävälise-","ystävälis-",,,,,,,,,
"ussee","adj","mange",,"-","-","mang en",,,,,,,,
"moni","adj","mange",,"mone-","mon-","mang en",,,,,,,,
"rappee","adj","drøy","a1","-","-",,,,,,,,,
"vilkas","adj","livlig",,"vilkhaa-","-","livat",,,,,,,,
"ilonen","adj","glad",,"ilose-","ilos-","lykkelig",,,,,,,,
"märkä","adj","våt","a1","märä-","märkkä-","materie","m",,,,,,,
"raikas","adj","frisk","a1","raikhaa-","-",,,,,,,,,
"tärkkee","adj","viktig",,"-","-","nøyaktig",,,,,,,,
"monenlainen","adj","mange slags",,"monenlaise-","monenlais-","mangfoldig",,"varierende",,,,,,
"merkkilinen","adj","merkelig",,"merkkilise-","merkkilis-",,,,,,,,,
"märkä","adj","våt","a1","märä-","märkkä-","materie","m",,,,,,,
"hauska","adj","hyggelig",,"-","-","koselig",,"trivelig",,,,,,
"hauska","adj","hyggelig",,"-","-","koselig",,"trivelig",,,,,,
"kristilinen","adj","kristen",,"kristilise-","kristilis-","kristelig",,,,,,,,
"alaikänen","adj","mindreårig",,"alaikäse-","alaikäs-",,,,,,,,,
"tyhvä","adj","tom","a1","-","-",,,,,,,"tyhjä",,
"rajaton","adj","grenseløs","a1","rajattoma-","-",,,,,,,,,
"vapaa","adj","fri –tt",,"-","-","ledig",,,,,,,,
"helppo","adj","enkel",,"helpo-","-","lett",,,,,,,,
"tyhjä","adj","dum","a1","-","-",,,,,,,"tyhvä",,
"laukkee","adj","mild","a1","-","-",,,,,,,,,
"tylsä","adj","sløv","a1","-","-","kvass","a1",,,,,,,
"tylsä","adj","sløv","a1","-","-","kvass","a1",,,,,,,
"viiðes","adj","femte",,"viiðenne-","viiðet-",,,,,,,,,
"ikunen","adj","evig",,"ikuse-","ikus-",,,,,,,,,
"pohjanen","adj","nord",,"pohjase-","pohjas-","nordlig",,,,,,,,
"uuðenaikhanen","adj","moderne",,"uuðenaikhane-","uuðenaikhas-","nytids",,,,,,,,
"nykyaikhanen","adj","moderne",,"nykyaikhase-","nykyaikhas-","nåtids",,,,,,,,
"paha","adj","ond","a1","pahha-",,"ondskapsfull",,,,,,,,
"vilkas","adj","livlig",,"vilkhaa-","-","livat",,,,,,,,
"opetettu","adj","skolert",,"opetetu-","-","opplært",,,,,,,,
"tärkkee","adj","viktig",,"-","-","nøyaktig",,,,,,,,
"pienenlainen","adj","temmelig liten",,"pienenlaise-","pienenlais-",,,,,,,,,
